.draw,param,value
50,v_Slearned_lMTRUE,3.0534303631
50,v_Slearned_lMFALSE,2.8496824364
50,sv_lMTRUE,0.8702703216
50,B_lRnovel,2.1646635128666665
50,B_lRlearned,1.8545309802
50,A,1.881169148
50,t0,0.18398375086666663
51,v_Snovel_lMTRUE,3.4879653416
51,v_Snovel_lMFALSE,2.371148576933334
51,v_Slearned_lMTRUE,3.0670027881666666
51,v_Slearned_lMFALSE,2.9251507939666666
51,sv_lMTRUE,0.8729534964333333
51,B_lRnovel,2.2400948466666666
51,B_lRlearned,1.9044046117666664
51,A,1.9112583453
51,t0,0.17633341616666667
52,v_Snovel_lMTRUE,3.5046720085666667
52,v_Snovel_lMFALSE,2.3557602211
52,v_Slearned_lMTRUE,3.0763786316666666
52,v_Slearned_lMFALSE,2.9505363385
52,sv_lMTRUE,0.8861285477999999
52,B_lRnovel,2.3033411741
52,B_lRlearned,1.9347064284666664
52,A,1.8444401660666667
52,t0,0.1691926108
53,v_Snovel_lMTRUE,3.4955311255333332
53,v_Snovel_lMFALSE,2.3590672568
53,v_Slearned_lMTRUE,3.0700477129
53,v_Slearned_lMFALSE,2.9270958990666665
53,sv_lMTRUE,0.8775263069666667
53,B_lRnovel,2.2810344334666666
53,B_lRlearned,1.9229565445666668
53,A,1.8649381577666664
53,t0,0.17020547833333333
54,v_Snovel_lMTRUE,3.489061803233333
54,v_Snovel_lMFALSE,2.3426885931666668
54,v_Slearned_lMTRUE,3.0502126020666664
54,v_Slearned_lMFALSE,2.922235657033333
54,sv_lMTRUE,0.8852040986333334
54,B_lRnovel,2.3097381619666666
54,B_lRlearned,1.9255662242
54,A,1.8229686007666668
54,t0,0.16976026323333332
55,v_Snovel_lMTRUE,3.448702095733333
55,v_Snovel_lMFALSE,2.2995287846333334
55,v_Slearned_lMTRUE,3.0269774763
55,v_Slearned_lMFALSE,2.8819003563333334
55,sv_lMTRUE,0.8740628857666667
55,B_lRnovel,2.271214693266667
55,B_lRlearned,1.9145201889333336
55,A,1.7714958281333333
55,t0,0.17248888643333332
56,v_Snovel_lMTRUE,3.4936598584
56,v_Snovel_lMFALSE,2.3522595554666665
56,v_Slearned_lMTRUE,3.0832475237
56,v_Slearned_lMFALSE,2.9309427485
56,sv_lMTRUE,0.8630835994666667
56,B_lRnovel,2.2618438128666667
56,B_lRlearned,1.9150113529333332
56,A,1.9006281739666664
56,t0,0.173720807
57,v_Snovel_lMTRUE,3.4787817658333333
57,v_Snovel_lMFALSE,2.3282389428
57,v_Slearned_lMTRUE,3.0566268964
57,v_Slearned_lMFALSE,2.915775566033333
57,sv_lMTRUE,0.8526125231333334
57,B_lRnovel,2.2247915218
57,B_lRlearned,1.8570826489333336
57,A,1.8990723918333337
57,t0,0.1808405556
58,v_Snovel_lMTRUE,3.5160449131333333
58,v_Snovel_lMFALSE,2.3704511975
58,v_Slearned_lMTRUE,3.0975376166333333
58,v_Slearned_lMFALSE,2.932558069
58,sv_lMTRUE,0.8571221261
58,B_lRnovel,2.2084196832
58,B_lRlearned,1.8678874482666668
58,A,1.9608107970666664
58,t0,0.18293105733333337
59,v_Snovel_lMTRUE,3.4819293946
59,v_Snovel_lMFALSE,2.3228070588333334
59,v_Slearned_lMTRUE,3.0534336646
59,v_Slearned_lMFALSE,2.9307752025666667
59,sv_lMTRUE,0.8575472672
59,B_lRnovel,2.1936622616
59,B_lRlearned,1.8355106110333332
59,A,1.9332840869666668
59,t0,0.18497401296666663
60,v_Snovel_lMTRUE,3.4578376008666667
60,v_Snovel_lMFALSE,2.2945222892
60,v_Slearned_lMTRUE,3.0195779785333334
60,v_Slearned_lMFALSE,2.9070536267
60,sv_lMTRUE,0.8502687310666667
60,B_lRnovel,2.1802104358
