pid,param,value,.lower,.upper,.width,.point,.interval
034,sv_lMTRUE,0.9047360600000001,0.71198266875,1.147536272,0.95,median,qi
034,t0,0.107282765,0.05415498425000001,0.23667154599999998,0.95,median,qi
034,v_Slearned_lMFALSE,3.2951018999999997,2.11162663175,4.35269173175,0.95,median,qi
034,v_Slearned_lMTRUE,3.46966317,2.275181607250001,4.479520765499999,0.95,median,qi
034,v_Snovel_lMFALSE,2.4974340049999997,1.3095095757500002,3.5364671792499993,0.95,median,qi
034,v_Snovel_lMTRUE,3.9858677,2.730513379,5.089553416999999,0.95,median,qi
036,A,0.97303664,0.406908729,1.9341574852499999,0.95,median,qi
036,B_lRlearned,1.701110785,1.10821635725,2.2682277714999994,0.95,median,qi
036,B_lRnovel,2.7788514749999997,1.8897640869999999,3.72026907325,0.95,median,qi
036,sv_lMTRUE,0.838511215,0.6821281525000001,1.021627192,0.95,median,qi
036,t0,0.157393475,0.07384825625000001,0.267531658,0.95,median,qi
036,v_Slearned_lMFALSE,2.4229231550000003,1.4505004275,3.4271944564999997,0.95,median,qi
036,v_Slearned_lMTRUE,3.1167449400000002,2.4352518245,3.91051238375,0.95,median,qi
036,v_Snovel_lMFALSE,2.9436039899999997,2.22981788125,3.7683931619999993,0.95,median,qi
036,v_Snovel_lMTRUE,3.05841577,2.1265747537500004,4.03163965,0.95,median,qi
037,A,0.9395382050000001,0.44878465125000006,1.69096297475,0.95,median,qi
037,B_lRlearned,1.8831766,1.3350104995000003,2.4834545752499997,0.95,median,qi
037,B_lRnovel,1.5135242500000001,1.0192459667500002,2.0195480485,0.95,median,qi
037,sv_lMTRUE,0.7587235400000001,0.6146261325,0.92785289,0.95,median,qi
037,t0,0.14592958,0.07386976475000001,0.23764775875,0.95,median,qi
037,v_Slearned_lMFALSE,2.42787891,1.7042305295000002,3.205091279,0.95,median,qi
037,v_Slearned_lMTRUE,2.8849485,2.1664715067499998,3.67387967875,0.95,median,qi
037,v_Snovel_lMFALSE,1.7800230849999998,0.95877419475,2.6365170279999997,0.95,median,qi
037,v_Snovel_lMTRUE,3.004894175,2.3067423567500005,3.8008657997499995,0.95,median,qi
039,A,1.56824413,0.5699998957500002,2.8698915367499995,0.95,median,qi
039,B_lRlearned,2.729305555,1.9453479915,3.505007729,0.95,median,qi
039,B_lRnovel,3.408237755,2.5012453902500003,4.27085383925,0.95,median,qi
039,sv_lMTRUE,0.94603803,0.74105646575,1.193351653,0.95,median,qi
039,t0,0.137743535,0.064824326,0.26172503049999996,0.95,median,qi
039,v_Slearned_lMFALSE,3.163884745,2.301560066,4.054276549,0.95,median,qi
039,v_Slearned_lMTRUE,3.48878689,2.655806116,4.351673581749999,0.95,median,qi
039,v_Snovel_lMFALSE,1.896111725,1.01882714225,2.757022067,0.95,median,qi
039,v_Snovel_lMTRUE,4.372819185,3.4616016530000007,5.306141747,0.95,median,qi
040,A,3.561315765,2.137221842,4.8759273377499985,0.95,median,qi
040,B_lRlearned,1.58826413,0.9594686382500001,2.2070923302499996,0.95,median,qi
040,B_lRnovel,2.053330025,1.3339318567499998,2.737776358,0.95,median,qi
040,sv_lMTRUE,0.83645859,0.6488140450000001,1.0761352885,0.95,median,qi
040,t0,0.151244345,0.06389654475,0.277254162,0.95,median,qi
040,v_Slearned_lMFALSE,3.5620341250000003,2.54986182375,4.502033775999999,0.95,median,qi
040,v_Slearned_lMTRUE,3.4758019549999997,2.4930704077500003,4.34618312775,0.95,median,qi
040,v_Snovel_lMFALSE,2.966052405,1.98194155625,3.8784493292500004,0.95,median,qi
040,v_Snovel_lMTRUE,3.9537449049999998,2.93573076375,4.890579433249999,0.95,median,qi
041,A,0.5254271749999999,0.25487297825,1.0587453977499999,0.95,median,qi
041,B_lRlearned,1.50018184,0.9585679920000001,2.2089982225,0.95,median,qi
